Empresa,RIF,ORD-04-11-SOL,ORD-04-11-MON,OTRO-04-11-SOL,OTRO-04-11-MON,Sol,Mon
"123.COM.VE,C.A",J-307760850,0,$0,29,"$16,048,535",29,"$16,048,535"
"171 EMERGENCIA, C.A.",J-305258945,720,"$26,459,576",0,$0,720,"$26,459,576"
2 M CENTER,J-309738224,217,"$80,386,931",0,$0,217,"$80,386,931"
"2M-INGENIERIA, C.A.",J-075466454,8,"$24,011",0,$0,8,"$24,011"
"2PP-IMPORT,C.A.",J-313699616,4,"$182,981",0,$0,4,"$182,981"
"3 LOCURA, C.A",J-313036358,88,"$11,414,572",0,$0,88,"$11,414,572"
357 SPA CLUB C.A.,J-301932994,29,"$742,927",0,$0,29,"$742,927"
3A JOHNSON CONTROLS ANDINA C.A.,J-304254504,1380,"$44,440,741",0,$0,1380,"$44,440,741"
3I DE VENEZUELA C.A.,J-296232024,0,$0,0,$0,0,$0
"3M ASOCIADOS, C.A.",J-312076879,61,"$29,649,750",0,$0,61,"$29,649,750"
3M MANUFACTURERA VENEZUELA SA,J-000671656,6254,"$176,869,618",9,"$36,759,368",6263,"$213,628,986"
77 FIXING SYSTEMS C.A.,J-308442216,140,"$6,212,517",0,$0,140,"$6,212,517"
A & A ELECTRONICA,J-311812709,64,"$25,753,397",0,$0,64,"$25,753,397"
"A & V DEL CARIBE, C.A.",J-312302208,35,"$1,189,581",0,$0,35,"$1,189,581"
A V TECHNOLOGY C A,J-309279777,177,"$7,407,189",0,$0,177,"$7,407,189"
"A Y C QUIMICA, C.A.",J-312336323,4,"$180,251",0,$0,4,"$180,251"
"A-Z MERCADEO INTEGRAL, C.A.",J-316525112,48,"$1,314,557",0,$0,48,"$1,314,557"
A. C. FESTIVAL DE TRADICIONES AFROAMERICANAS,J-311247904,0,$0,2,$250,2,$250
A.C DE RESPONSABILIDAD LIMITADA SAN JOSE OBRERO,J-085016562,38,"$5,351,332",0,$0,38,"$5,351,332"
A.C IGLESIA LAS BUENAS NUEVAS,J-085188134,0,$0,1,"$17,500",1,"$17,500"
"A.C TRANSPORTE DE AGRICULTORES, MAICEROS Y GANADEROS",J-316612260,10,"$782,322",0,$0,10,"$782,322"
A.C. COMITE EJECUTIVO DE LA COPA AMERICA VENEZUELA 2007,J-315029847,0,$0,4,"$5,883,000",4,"$5,883,000"
A.C. DE PRODUCTORES DE DURAZNO Y CAFE,J-306465910,11,"$472,384",0,$0,11,"$472,384"
A.C. FESTIVAL DE TRADICIONES AFROAMERICANAS,J-31124790,0,$0,1,$30,1,$30
A.C. GRUPO DE TEATRO DIOS CON NOSOTROS,J-308916196,0,$0,1,$13,1,$13
A.C. PIA SOCIEDAD DE HIJAS DE SAN PABLO DE VENEZUELA,J-001021302,77,"$913,399",0,$0,77,"$913,399"
A.C. SOCIEDAD SAN PABLO DE VENEZUELA,J-000638357,99,"$2,274,127",0,$0,99,"$2,274,127"
A.C.M  IMPORT C.A.,J-303727751,13,"$101,942",0,$0,13,"$101,942"
A.F.Q. SERVICIOS C.A.,J-304775636,1,"$5,200",0,$0,1,"$5,200"
A.J. SOLUTIONS,J-313286990,35,"$3,238,527",0,$0,35,"$3,238,527"
"A.M.A. ELECTRONIC, C.A.",J-312071141,47,"$22,856,021",0,$0,47,"$22,856,021"
"A.P AUTOPARTES, C.A",J-301928423,121,"$3,495,086",0,$0,121,"$3,495,086"
"A.P. ASOCIADOS, C.A.",J-095049310,149,"$1,710,880",0,$0,149,"$1,710,880"
A.P. DISTRIBUCIONES Y REPRESENTACIONES C.A.,J-1791574,462,"$5,240,991",0,$0,462,"$5,240,991"
"A.T.C. SOTOMAR, C.A.",J-317117140,0,$0,0,$0,0,$0
A.V. INVER�S C.A.,J-311506721,1,"$8,939",0,$0,1,"$8,939"
"A.Z.INDUSTRIAL,C.A.",J-000736839,399,"$2,740,230",0,$0,399,"$2,740,230"
A&B METALMECANICA C.A,J-001046976,45,"$2,019,298",0,$0,45,"$2,019,298"
A2M ELIXIRS GROUP C.A.,J-314766619,1,"$18,074",0,$0,1,"$18,074"
AA CARS IMPORTACIONES C.A.,J-312780487,3,"$128,107",0,$0,3,"$128,107"
"AA EXPORT IMPORT,S.A",J-302840740,269,"$14,177,268",0,$0,269,"$14,177,268"
"AB ENGINEERING SERVICES, S.A.",J-313026069,8,"$186,471",0,$0,8,"$186,471"
"AB MARINE GROUP, S.A. ANTES (ARTIGIANA BATTELLI)",J-085273239,15,"$449,685",0,$0,15,"$449,685"
"ABAD AIR INC, C.A.",J-304663757,256,"$7,788,439",0,$0,256,"$7,788,439"
"ABBA CHEM SUPPLY, C.A",J-003703940,2059,"$91,913,034",0,$0,2059,"$91,913,034"
"ABBOTT LABORATORIES, C.A.",J-000836493,8872,"$1,183,580,050",5,"$21,245",8877,"$1,183,601,295"
ABC FALCON C.A.,J-297922768,3,"$154,971",0,$0,3,"$154,971"
ABCFORMAS Y SISTEMAS.CA.,J-001650130,131,"$5,132,775",0,$0,131,"$5,132,775"
ABELEC ABASTECIMIENTOS ELECTRICOS S.A.,J-001425543,267,"$13,950,284",0,$0,267,"$13,950,284"
ABISMO C.A.,J-309995871,107,"$13,203,085",0,$0,107,"$13,203,085"
ABN AMRO BANK N.V SUCURSAL VENEZUELA,J-001352201,0,$0,44,"$10,888,079",44,"$10,888,079"
